"date","user_id","text","sentiment","replies","retweets","likes"
"2022-09-29 22:32:31+00:00","1.5756145279362E+18","Celebrities Have HUGE MELTDOWN After WOKE Little Mermaid Trailer Hits 3 ... https://t.co/pYukhCKWhX 🤣🤣🤣🤣🤣🤣🤣 🖕fuck you @Disney","negative","0","0","1"
"2022-09-29 16:30:41+00:00","1.5755234675287E+18","Hey @Disney, is it too late to add a scene to the new Little Mermaid where Ariel plays a crystal flute? I need that to happen pretty badly.","positive","0","0","3"
"2022-09-29 13:39:33+00:00","1.5754804037246E+18","@rachelzegler Who is doing the casting work at @Disney? She/He needs to be fired now. @HalleBailey doesnt look like the little mermaid,  you are not even close to snow White. WTF Disney !! Stop the woke shit","negative","0","0","0"
"2022-09-29 13:11:28+00:00","1.5754733342419E+18","My gf keeps bullying me because I thought Ursula from My Little Mermaid was hot, when I was younger. Am I the only one?😭
#Ursula #TheLittleMermaid #disney #ariel #disneyprincess #DisneyPlus @Disney https://t.co/3f46bP0j80","positive","4","0","1"
"2022-09-29 10:53:55+00:00","1.5754387178162E+18","Um @Disney why not make a movie about Gabriella instead of Ariel? https://t.co/fZk1q9A0Uw Not only is she official, but she's an incredible character from the TV show that not many people know about and would be fantastic representation too #LITTLEMERMAID #TheLittleMermaid","positive","0","0","0"
"2022-09-29 00:41:53+00:00","1.5752846939765E+18","@Disney fans be complaining about the little mermaid being black but imagine if they did this shit to the princess and the frog. Imagine if she was white, some of yall would go crazy 💀💀. Its insane","positive","0","0","0"
"2022-09-28 23:54:19+00:00","1.5752727246199E+18","Under The Sea | The Little Mermaid (Sunny and The Black Pack) #coversong #acoustic #disney #thelittlemermaid @Disney #littlemermaid https://t.co/E7bvwMEmBV","positive","1","2","7"
"2022-09-28 14:41:59+00:00","1.5751337278517E+18","Same people UPSET and outspoken that @HalleBailey is Black playing #Ariel @Disney #LittleMermaid are the same ones silent ALL WHITE casts in movies about ancient Egypt or cast a white main character to play out the story about someone who is Black and/or Brown. https://t.co/stlYsrdrAn","positive","1","0","0"
"2022-09-28 07:23:56+00:00","1.5750234887041E+18","@SlayDeSink @Disney i said YEARS ago that my little mermaid Sadie should be Ariel in a live action Little Mermaid.
YEARS ago.
🙄🙄🙄🙄","negative","0","0","0"
"2022-09-28 02:09:16+00:00","1.5749442984116E+18","#UltraMAGA didn’t lose their minds when a Black Man played the blue #Genie in @Disney’s live action #Aladdin… but don’t fuck with “history” of a white #LittleMermaid. LOL Manufactured outrage by the #Snowflake #CancelCulture crowd. https://t.co/vYlobkFwGY","positive","0","0","0"
"2022-09-28 02:08:25+00:00","1.5749440865109E+18","I'm sorry. Are people still losing their minds over @Disney and the trailer for the live action Little Mermaid remake? 

Like, we didn't identify all the racists yet??","positive","5","0","11"
"2022-09-28 01:20:23+00:00","1.5749319987158E+18","we all love debora ann woll in the new disney little mermaid movie already stop your forced inclusion😡 you started with ""light year"" don't make your productions hated @DisneyStudiosLA @Disney @FOXSportsMX https://t.co/H9fWD2YIKP","negative","0","0","0"
"2022-09-27 22:01:09+00:00","1.5748818579168E+18","They need to put azealia banks along the coast n the little mermaid soundtrack @Disney","positive","0","0","0"
"2022-09-27 21:52:35+00:00","1.5748797035629E+18","I’m advocating right now for @1GunnaGunna to do the soundtrack for the little mermaid. C’mon it’s only right @Disney","positive","0","0","0"
"2022-09-27 16:41:51+00:00","1.5748015040951E+18","Ricky the Rat has something to say…
#LittleMermaid #HalleBailey #AntiRacist #BLM #RepresentationMatters #Animation #Animator #Artist #ArtistOnTwitter @Disney please don’t sue me, it’s just satire… https://t.co/xWdjQpihqu","positive","0","1","0"
"2022-09-27 14:18:51+00:00","1.5747655182713E+18","The Little Mermaid - Official Teaser Trailer https://t.co/fltMkWUWhF via @YouTube @Disney #LITTLEMERMAID","positive","0","0","0"
"2022-09-27 10:17:43+00:00","1.5747048342212E+18","@livingcontents @CookiePride2 @Disney This is NOT a ""Black version"" of the Little Mermaid, it is a ""Live Action version"" of the Little Mermaid. Disney just cast the best singer/actress out of hundreds of auditions.","positive","1","0","0"
"2022-09-27 06:45:43+00:00","1.574651481521E+18","My 9year princess thats mixed race, just come running to me overjoyed having found out that the  new little mermaid star is black. Well done @Disney 🤗❤️","positive","0","0","1"
"2022-09-27 03:56:28+00:00","1.5746088892948E+18","@starvinforhim @Disney BLACK PANTHER IS AS REAL AS THE LITTLE MERMAID! And BP is from the minds of white men! so if it’s ok to have a bias or preference in one, it’s ok to have a bias or preference for another or else you look like a racist hypocrite. Not that I’m calling you one but if the shoe fits…","positive","1","0","0"
"2022-09-27 02:21:05+00:00","1.5745848837244E+18","the only reason I will get upset about this movie is if they get these outfits wrong for the little mermaid @disney I want princess diana wedding dress realness, and swarovski crystal luminescent  slip dress!!! @LittleMermaid https://t.co/HcOZIAg6bi","positive","0","0","0"
"2022-09-26 21:12:54+00:00","1.5745073271133E+18","@TheAmateur_Pod @Disney Being prejudices and stereotypical. Dunno why someone that isnt black could see the cover 'remakes' for the black little mermaid are racist","negative","1","0","0"
